source_x,source_y,dest_x,dest_y,straight_distance,vehicle_count,hour,is_rush_hour,is_weekend,avg_network_congestion,scenario,scenario_normal,scenario_morning,scenario_evening,scenario_weekend,scenario_special,path_length,travel_time,total_distance,avg_congestion,computation_time
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,0,14,0,0,1.9359163288374235,Normal,1,0,0,0,0,140,304.0794762855321,1551.28355382144,1.9359163288374235,0.005414009094238281
-0.0842874,51.5131213,-0.0921984,51.5127289,0.007920725898552613,0,11,0,0,1.9328415518083994,Normal,1,0,0,0,0,335,730.5264849089575,3737.7877105499365,1.9328415518083994,0.003821849822998047
-0.0814788,51.5109018,-0.0842874,51.5131213,0.0035797226442855867,0,13,0,0,1.8400407148951232,Normal,1,0,0,0,0,121,244.3439798008841,1319.7980400210972,1.8400407148951232,0.00214385986328125
-0.0814788,51.5109018,-0.0969199,51.5183128,0.01712747763711763,0,11,0,0,1.9874557132008819,Normal,1,0,0,0,0,275,609.7861576629383,3194.277417641832,1.9874557132008819,0.0035521984100341797
-0.0969199,51.5183128,-0.0908074,51.5115047,0.009149474403478715,0,10,0,0,1.460303556091857,Normal,1,0,0,0,0,136,227.87399066538526,1105.5265851386514,1.460303556091857,0.0031249523162841797
-0.0951373,51.5164332,-0.0921984,51.5127289,0.004728527434626857,0,13,0,0,1.6836445154782076,Normal,1,0,0,0,0,93,176.7449438551933,842.8628783845787,1.6836445154782076,0.002565145492553711
-0.0921984,51.5127289,-0.0842874,51.5131213,0.007920725898552613,0,10,0,0,1.8446459476545454,Normal,1,0,0,0,0,201,411.84567958990624,2197.3284747698012,1.8446459476545454,0.006570100784301758
-0.1051576,51.5112484,-0.1020931,51.5120632,0.0031709713480258537,0,10,0,0,1.7751193770232747,Normal,1,0,0,0,0,148,297.5338502470671,1511.8308024850216,1.7751193770232747,0.0037429332733154297
-0.0921984,51.5127289,-0.0814788,51.5109018,0.010874195076878077,0,12,0,0,1.9796799810039742,Normal,1,0,0,0,0,96,212.78321942438777,1125.6204117485713,1.9796799810039742,0.003960132598876953
-0.0814788,51.5109018,-0.0990607,51.5195968,0.019614439390664526,0,11,0,0,2.0797299542089904,Normal,1,0,0,0,0,263,611.5321508956337,3148.6017018635985,2.0797299542089904,0.003476858139038086
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,25,14,0,0,3.9764077666139115,Normal,1,0,0,0,0,136,669.3071644400233,1579.622261483395,3.9764077666139115,0.0053157806396484375
-0.0842874,51.5131213,-0.0921984,51.5127289,0.007920725898552613,25,11,0,0,4.480844054974584,Normal,1,0,0,0,0,343,1940.4282054284686,3751.84711000321,4.480844054974584,0.003984212875366211
-0.0814788,51.5109018,-0.0842874,51.5131213,0.0035797226442855867,25,13,0,0,3.8830144967581526,Normal,1,0,0,0,0,121,585.3198100134273,1319.7980400210972,3.8830144967581526,0.0020956993103027344
-0.0814788,51.5109018,-0.0969199,51.5183128,0.01712747763711763,25,11,0,0,4.230190253678559,Normal,1,0,0,0,0,283,1503.6040300864427,3208.3368170951053,4.230190253678559,0.0033032894134521484
-0.0969199,51.5183128,-0.0908074,51.5115047,0.009149474403478715,25,10,0,0,4.1043926779672155,Normal,1,0,0,0,0,136,704.4010635250302,1105.5265851386514,4.1043926779672155,0.0029938220977783203
