source_x,source_y,dest_x,dest_y,straight_distance,vehicle_count,hour,is_rush_hour,is_weekend,avg_network_congestion,scenario,scenario_normal,scenario_morning,scenario_evening,scenario_weekend,scenario_special,path_length,travel_time,total_distance,avg_congestion,computation_time
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,0,14,0,0,2.1478405176237096,Normal,1,0,0,0,0,140,343.0944746132375,1551.28355382144,2.1478405176237096,0.005694866180419922
-0.0842874,51.5131213,-0.0921984,51.5127289,0.007920725898552613,0,11,0,0,2.0347626871018925,Normal,1,0,0,0,0,343,797.0826988772321,3751.84711000321,2.0347626871018925,0.0038268566131591797
-0.0814788,51.5109018,-0.0842874,51.5131213,0.0035797226442855867,0,13,0,0,1.8961178747525225,Normal,1,0,0,0,0,121,258.256089629961,1319.7980400210972,1.8961178747525225,0.001983165740966797
-0.0814788,51.5109018,-0.0969199,51.5183128,0.01712747763711763,0,11,0,0,2.079916631777781,Normal,1,0,0,0,0,283,670.5125713497321,3208.3368170951053,2.079916631777781,0.003242969512939453
-0.0969199,51.5183128,-0.0908074,51.5115047,0.009149474403478715,0,10,0,0,1.5012578593843835,Normal,1,0,0,0,0,136,231.19125666009208,1105.5265851386514,1.5012578593843835,0.0030040740966796875
-0.0951373,51.5164332,-0.0921984,51.5127289,0.004728527434626857,0,13,0,0,1.7472647410252045,Normal,1,0,0,0,0,91,180.60368543947993,822.9642631942756,1.7472647410252045,0.0024640560150146484
-0.0921984,51.5127289,-0.0842874,51.5131213,0.007920725898552613,0,10,0,0,2.027388063180039,Normal,1,0,0,0,0,194,445.27104163680843,2185.465243704567,2.027388063180039,0.005766153335571289
-0.1051576,51.5112484,-0.1020931,51.5120632,0.0031709713480258537,0,10,0,0,1.686771659460862,Normal,1,0,0,0,0,148,276.72895470682937,1511.8308024850216,1.686771659460862,0.0030679702758789062
-0.0921984,51.5127289,-0.0814788,51.5109018,0.010874195076878077,0,12,0,0,2.128969384882007,Normal,1,0,0,0,0,96,229.40375440323925,1125.6204117485713,2.128969384882007,0.003779172897338867
-0.0814788,51.5109018,-0.0990607,51.5195968,0.019614439390664526,0,11,0,0,2.155140872063919,Normal,1,0,0,0,0,271,665.0335923573845,3162.6611013168717,2.155140872063919,0.0031893253326416016
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,25,14,0,0,3.592020763374614,Normal,1,0,0,0,0,136,598.896563648315,1579.622261483395,3.592020763374614,0.005771636962890625
-0.0842874,51.5131213,-0.0921984,51.5127289,0.007920725898552613,25,11,0,0,5.558000146935733,Normal,1,0,0,0,0,362,2558.7220885015245,3952.2687586483385,5.558000146935733,0.0048639774322509766
-0.0814788,51.5109018,-0.0842874,51.5131213,0.0035797226442855867,25,13,0,0,5.331351356409368,Normal,1,0,0,0,0,121,813.3895107985066,1319.7980400210972,5.331351356409368,0.0020678043365478516
-0.0814788,51.5109018,-0.0969199,51.5183128,0.01712747763711763,25,11,0,0,4.7347323161274595,Normal,1,0,0,0,0,283,1687.9199191309194,3208.3368170951053,4.7347323161274595,0.003215789794921875
-0.0969199,51.5183128,-0.0908074,51.5115047,0.009149474403478715,25,10,0,0,5.77219266600047,Normal,1,0,0,0,0,136,1005.2709984987415,1105.5265851386514,5.77219266600047,0.004232883453369141
-0.0951373,51.5164332,-0.0921984,51.5127289,0.004728527434626857,25,13,0,0,5.997775225344726,Normal,1,0,0,0,0,93,705.4549213950418,842.8628783845787,5.997775225344726,0.003050088882446289
-0.0921984,51.5127289,-0.0842874,51.5131213,0.007920725898552613,25,10,0,0,4.8252560930122455,Normal,1,0,0,0,0,201,1222.3053575096953,2197.3284747698012,4.8252560930122455,0.006092071533203125
-0.1051576,51.5112484,-0.1020931,51.5120632,0.0031709713480258537,25,10,0,0,4.98705161062155,Normal,1,0,0,0,0,110,661.3966368366035,1811.4090952920603,4.98705161062155,0.0032739639282226562
-0.0921984,51.5127289,-0.0814788,51.5109018,0.010874195076878077,25,12,0,0,4.3771705935043705,Normal,1,0,0,0,0,101,550.2786195428708,1145.9154887018483,4.3771705935043705,0.004557132720947266
-0.0814788,51.5109018,-0.0990607,51.5195968,0.019614439390664526,25,11,0,0,4.985610438692727,Normal,1,0,0,0,0,271,1705.8471204931568,3162.6611013168717,4.985610438692727,0.0031349658966064453
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,50,14,0,0,6.1616686780691055,Normal,1,0,0,0,0,140,1100.6563216280683,1551.28355382144,6.1616686780691055,0.005464076995849609
-0.0842874,51.5131213,-0.0921984,51.5127289,0.007920725898552613,50,11,0,0,11.358171190887491,Normal,1,0,0,0,0,362,5304.734691893435,3952.2687586483385,11.358171190887491,0.0039768218994140625
-0.0814788,51.5109018,-0.0842874,51.5131213,0.0035797226442855867,50,13,0,0,10.294103236714792,Normal,1,0,0,0,0,121,1594.7874166144782,1319.7980400210972,10.294103236714792,0.0020499229431152344
-0.0814788,51.5109018,-0.0969199,51.5183128,0.01712747763711763,50,11,0,0,10.4790556589353,Normal,1,0,0,0,0,283,3819.858457633253,3208.3368170951053,10.4790556589353,0.003278017044067383
-0.0969199,51.5183128,-0.0908074,51.5115047,0.009149474403478715,50,10,0,0,10.046425887344041,Normal,1,0,0,0,0,136,1759.5350555070524,1105.5265851386514,10.046425887344041,0.003341197967529297
-0.0951373,51.5164332,-0.0921984,51.5127289,0.004728527434626857,50,13,0,0,8.943355991483351,Normal,1,0,0,0,0,91,1038.3582882750864,822.9642631942756,8.943355991483351,0.0029981136322021484
-0.0921984,51.5127289,-0.0842874,51.5131213,0.007920725898552613,50,10,0,0,9.92083135939944,Normal,1,0,0,0,0,203,2581.28969603096,2255.0087708979213,9.92083135939944,0.006087064743041992
-0.1051576,51.5112484,-0.1020931,51.5120632,0.0031709713480258537,50,10,0,0,6.125559503590987,Normal,1,0,0,0,0,110,832.4638754012373,1811.4090952920603,6.125559503590987,0.002846956253051758
-0.0921984,51.5127289,-0.0814788,51.5109018,0.010874195076878077,50,12,0,0,9.983001689479135,Normal,1,0,0,0,0,105,1332.6129963948379,1353.6622757234131,9.983001689479135,0.00577092170715332
-0.0814788,51.5109018,-0.0990607,51.5195968,0.019614439390664526,50,11,0,0,10.94052382776103,Normal,1,0,0,0,0,271,3820.135376077507,3162.6611013168717,10.94052382776103,0.0031862258911132812
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,100,14,0,0,12.25982253345798,Normal,1,0,0,0,0,128,2012.1080063817697,1601.15143825007,12.25982253345798,0.0057790279388427734
-0.0842874,51.5131213,-0.0921984,51.5127289,0.007920725898552613,100,11,0,0,13.62986158970785,Normal,1,0,0,0,0,362,6382.268609872097,3952.2687586483385,13.62986158970785,0.00439000129699707
-0.0814788,51.5109018,-0.0842874,51.5131213,0.0035797226442855867,100,13,0,0,14.009813733888059,Normal,1,0,0,0,0,121,2182.8004571402103,1319.7980400210972,14.009813733888059,0.0021398067474365234
-0.0814788,51.5109018,-0.0969199,51.5183128,0.01712747763711763,100,11,0,0,14.588293928079665,Normal,1,0,0,0,0,283,5339.51530759044,3208.3368170951053,14.588293928079665,0.003389120101928711
-0.0969199,51.5183128,-0.0908074,51.5115047,0.009149474403478715,100,10,0,0,9.860886985048783,Normal,1,0,0,0,0,136,1726.741608556956,1105.5265851386514,9.860886985048783,0.0029692649841308594
-0.0951373,51.5164332,-0.0921984,51.5127289,0.004728527434626857,100,13,0,0,9.558446832704794,Normal,1,0,0,0,0,93,1137.9939525908965,842.8628783845787,9.558446832704794,0.002743959426879883
-0.0921984,51.5127289,-0.0842874,51.5131213,0.007920725898552613,100,10,0,0,12.077817666337635,Normal,1,0,0,0,0,203,3157.3989651846978,2255.0087708979213,12.077817666337635,0.006161212921142578
-0.1051576,51.5112484,-0.1020931,51.5120632,0.0031709713480258537,100,10,0,0,8.543073337915045,Normal,1,0,0,0,0,110,1188.328271026544,1811.4090952920603,8.543073337915045,0.002611875534057617
-0.0921984,51.5127289,-0.0814788,51.5109018,0.010874195076878077,100,12,0,0,10.298304714205917,Normal,1,0,0,0,0,105,1380.8427667159665,1353.6622757234131,10.298304714205917,0.004606008529663086
-0.0814788,51.5109018,-0.0990607,51.5195968,0.019614439390664526,100,11,0,0,15.20529049166888,Normal,1,0,0,0,0,271,5328.823837402934,3162.6611013168717,15.20529049166888,0.0032968521118164062
-0.0921984,51.5127289,-0.0990607,51.5195968,0.009708718334571419,150,14,0,0,12.773045474094284,Normal,1,0,0,0,0,128,2098.442337123435,1601.15143825007,12.773045474094284,0.006896018981933594
-0.0842874,51.5131213,-0.0921984,51.5127289,0.007920725898552613,150,11,0,0,14.00316264869984,Normal,1,0,0,0,0,362,6557.834207715193,3952.2687586483385,14.00316264869984,0.004488945007324219
-0.0814788,51.5109018,-0.0842874,51.5131213,0.0035797226442855867,150,13,0,0,14.47740804092498,Normal,1,0,0,0,0,121,2255.74516903797,1319.7980400210972,14.47740804092498,0.002328157424926758
